DISCOUNT IN %,HOTEL_RATING,NEW PRICE,SAVE IN DOLLARS,DEPARTURE DATE,PACKAGE,DURATION,COUNTRY,CITY,HOTEL,OLD PRICE,GATEWAY,LINK
33,rating:5,$2095,$1040,2024-06-04,All Inclusive,7,Jamaica,Negril,Royalton Negril An Autograph Collection All Inclusive Resort,$3135,Toronto:YYZ,https://book.sunwing.ca/cgi-bin/handler.cgi?gateway_dep=YYZ&dest_dep=4244&no_hotel=88&date_dep=20240604&duration=7&price_max=999999&searchtype=PA&code_ag=rds&language=en&swg_engine=1&nb_rooms=1&nb_adult_forf=2&nb_adult=2&nb_child_forf=0&nb_child=0
52,rating:4,$2235,$2500,2024-04-13,All Inclusive,7,Antigua and Barbuda,Antigua,St. James's Club and Villas,$4735,Toronto:YYZ,https://book.sunwing.ca/cgi-bin/handler.cgi?gateway_dep=YYZ&dest_dep=27&no_hotel=701&date_dep=20240413&duration=7&price_max=999999&searchtype=PA&code_ag=rds&language=en&swg_engine=1&nb_rooms=1&nb_adult_forf=2&nb_adult=2&nb_child_forf=0&nb_child=0
33,rating:3.5,$2245,$1130,2024-04-18,All Inclusive,7,St Maarten,St. Maarten,Divi Little Bay Beach Resort,$3375,Toronto:YYZ,https://book.sunwing.ca/cgi-bin/handler.cgi?gateway_dep=YYZ&dest_dep=39&no_hotel=1166&date_dep=20240418&duration=7&price_max=999999&searchtype=PA&code_ag=rds&language=en&swg_engine=1&nb_rooms=1&nb_adult_forf=2&nb_adult=2&nb_child_forf=0&nb_child=0
32,rating:5,$2295,$1110,2024-04-14,All Inclusive,7,Grenada,Grenada,Royalton Grenada An Autograph Collection All Inclusive Resort,$3405,Toronto:YYZ,https://book.sunwing.ca/cgi-bin/handler.cgi?gateway_dep=YYZ&dest_dep=34&no_hotel=11813&date_dep=20240414&duration=7&price_max=999999&searchtype=PA&code_ag=rds&language=en&swg_engine=1&nb_rooms=1&nb_adult_forf=2&nb_adult=2&nb_child_forf=0&nb_child=0
31,rating:5,$2305,$1080,2024-05-08,All Inclusive,7,Jamaica,Montego Bay,Royalton Blue Waters Montego Bay An Autograph Collection All Inclusive Resort,$3385,Toronto:YYZ,https://book.sunwing.ca/cgi-bin/handler.cgi?gateway_dep=YYZ&dest_dep=18&no_hotel=11032&date_dep=20240508&duration=7&price_max=999999&searchtype=PA&code_ag=rds&language=en&swg_engine=1&nb_rooms=1&nb_adult_forf=2&nb_adult=2&nb_child_forf=0&nb_child=0
31,rating:5,$2465,$1110,2024-04-27,All Inclusive,7,Antigua and Barbuda,Antigua,Royalton Antigua An Autograph Collection All Inclusive Resort,$3575,Toronto:YYZ,https://book.sunwing.ca/cgi-bin/handler.cgi?gateway_dep=YYZ&dest_dep=27&no_hotel=11722&date_dep=20240427&duration=7&price_max=999999&searchtype=PA&code_ag=rds&language=en&swg_engine=1&nb_rooms=1&nb_adult_forf=2&nb_adult=2&nb_child_forf=0&nb_child=0
16,rating:5,$2545,$490,2024-06-03,All Inclusive,7,Aruba,Aruba,Riu Palace Aruba,$3035,Toronto:YYZ,https://book.sunwing.ca/cgi-bin/handler.cgi?gateway_dep=YYZ&dest_dep=29&no_hotel=52&date_dep=20240603&duration=7&price_max=999999&searchtype=PA&code_ag=rds&language=en&swg_engine=1&nb_rooms=1&nb_adult_forf=2&nb_adult=2&nb_child_forf=0&nb_child=0
32,rating:4,$1375,$650,2024-03-25,All Inclusive,7,Panama,Panama,Gran Evenia Bijao Beach Resort,$2025,Toronto:YYZ,https://book.sunwing.ca/cgi-bin/handler.cgi?gateway_dep=YYZ&dest_dep=59&no_hotel=9827&date_dep=20240325&duration=7&price_max=999999&searchtype=PA&code_ag=rds&language=en&swg_engine=1&nb_rooms=1&nb_adult_forf=2&nb_adult=2&nb_child_forf=0&nb_child=0
28,rating:5,$1435,$580,2024-03-25,All Inclusive,7,Panama,Panama,Riu Playa Blanca,$2015,Toronto:YYZ,https://book.sunwing.ca/cgi-bin/handler.cgi?gateway_dep=YYZ&dest_dep=59&no_hotel=10567&date_dep=20240325&duration=7&price_max=999999&searchtype=PA&code_ag=rds&language=en&swg_engine=1&nb_rooms=1&nb_adult_forf=2&nb_adult=2&nb_child_forf=0&nb_child=0
25,rating:5,$1635,$570,2024-05-27,All Inclusive,7,Costa Rica,Liberia,Riu Guanacaste,$2205,Toronto:YYZ,https://book.sunwing.ca/cgi-bin/handler.cgi?gateway_dep=YYZ&dest_dep=70&no_hotel=8565&date_dep=20240527&duration=7&price_max=999999&searchtype=PA&code_ag=rds&language=en&swg_engine=1&nb_rooms=1&nb_adult_forf=2&nb_adult=2&nb_child_forf=0&nb_child=0
26,rating:4.5,$1905,$690,2024-06-15,All Inclusive,7,Dominican Republic,La Romana,Iberostar Selection Hacienda Dominicus,$2595,Toronto:YYZ,https://book.sunwing.ca/cgi-bin/handler.cgi?gateway_dep=YYZ&dest_dep=73&no_hotel=1370&date_dep=20240615&duration=7&price_max=999999&searchtype=PA&code_ag=rds&language=en&swg_engine=1&nb_rooms=1&nb_adult_forf=2&nb_adult=2&nb_child_forf=0&nb_child=0
19,rating:5,$2035,$500,2024-05-27,All Inclusive,7,Costa Rica,Liberia,Riu Palace Costa Rica,$2535,Toronto:YYZ,https://book.sunwing.ca/cgi-bin/handler.cgi?gateway_dep=YYZ&dest_dep=70&no_hotel=10062&date_dep=20240527&duration=7&price_max=999999&searchtype=PA&code_ag=rds&language=en&swg_engine=1&nb_rooms=1&nb_adult_forf=2&nb_adult=2&nb_child_forf=0&nb_child=0
